Date;Time;Nox
06/feb; 14-15;    11.18
06/feb; 13-14;    12.21
06/feb; 12-13;    16.35
06/feb; 11-12;    13.55
06/feb; 10-11;    16.35
06/feb;  9-10;    18.51
06/feb;  8- 9;    16.35
06/feb;  7- 8;    13.64
06/feb;  6- 7;     5.68
06/feb;  5- 6;     2.34
06/feb;  4- 5;     3.53
06/feb;  3- 4;     1.81
06/feb;  2- 3;     2.12
06/feb;  1- 2;     2.29
06/feb;  0- 1;     1.11
05/feb; 23-24;     2.00
05/feb; 22-23;     3.19
05/feb; 21-22;     6.13
05/feb; 20-21;     4.70
05/feb; 19-20;     5.11
05/feb; 18-19;     5.35
05/feb; 17-18;     7.18
05/feb; 16-17;    12.44
05/feb; 15-16;    16.61
05/feb; 14-15;    10.36
05/feb; 13-14;    14.49
05/feb; 12-13;     9.98
05/feb; 11-12;     7.90
05/feb; 10-11;    12.12
05/feb;  9-10;    15.07
05/feb;  8- 9;     9.58
05/feb;  7- 8;    10.00
05/feb;  6- 7;     9.21
05/feb;  5- 6;    10.64
05/feb;  4- 5;    13.46
05/feb;  3- 4;    14.71
05/feb;  2- 3;    15.09
05/feb;  1- 2;    13.87
05/feb;  0- 1;    15.81
04/feb; 23-24;    19.97
04/feb; 22-23;    17.81
04/feb; 21-22;    19.76
04/feb; 20-21;    19.23
04/feb; 19-20;    19.19
04/feb; 18-19;    22.84
04/feb; 17-18;    24.16
04/feb; 16-17;    23.45
04/feb; 15-16;    23.41
04/feb; 14-15;    25.60
04/feb; 13-14;    30.35
04/feb; 12-13;    24.44
04/feb; 11-12;    32.01
04/feb; 10-11;    36.97
04/feb;  9-10;    32.80
04/feb;  8- 9;    25.56
04/feb;  7- 8;    20.60
04/feb;  6- 7;    15.40
04/feb;  5- 6;    10.72
04/feb;  4- 5;     8.79
04/feb;  3- 4;     7.88
04/feb;  2- 3;     8.55
04/feb;  1- 2;     8.62
04/feb;  0- 1;     7.06
03/feb; 23-24;     7.59
03/feb; 22-23;     8.17
03/feb; 21-22;     8.48
03/feb; 20-21;    13.90
03/feb; 19-20;    16.91
03/feb; 18-19;    18.57
03/feb; 17-18;    19.79
03/feb; 16-17;    23.43
03/feb; 15-16;    22.00
03/feb; 14-15;    21.07
03/feb; 13-14;    22.65
03/feb; 12-13;    29.87
03/feb; 11-12;    28.12
03/feb; 10-11;    22.80
03/feb;  9-10;    34.38
03/feb;  8- 9;    31.12
03/feb;  7- 8;    64.73
03/feb;  6- 7;    20.09
03/feb;  5- 6;    11.31
03/feb;  4- 5;     9.63
03/feb;  3- 4;     9.02
03/feb;  2- 3;     8.76
03/feb;  1- 2;     9.79
03/feb;  0- 1;     9.72
02/feb; 23-24;     9.34
02/feb; 22-23;    10.59
02/feb; 21-22;    11.75
02/feb; 20-21;    12.00
02/feb; 19-20;    13.90
02/feb; 18-19;    18.93
02/feb; 17-18;    28.32
02/feb; 16-17;    28.29
02/feb; 15-16;    30.43
02/feb; 14-15;    32.14
02/feb; 13-14;    34.18
02/feb; 12-13;    33.67
02/feb; 11-12;    34.72
02/feb; 10-11;    34.23
02/feb;  9-10;    37.78
02/feb;  8- 9;    32.65
02/feb;  7- 8;    26.70
02/feb;  6- 7;    18.10
02/feb;  5- 6;     8.75
02/feb;  4- 5;     8.31
02/feb;  3- 4;     6.15
02/feb;  2- 3;     6.72
02/feb;  1- 2;     8.14
02/feb;  0- 1;     9.98
01/feb; 23-24;     9.82
01/feb; 22-23;    16.89
01/feb; 21-22;    16.88
01/feb; 20-21;    21.97
01/feb; 19-20;    28.39
01/feb; 18-19;    22.61
01/feb; 17-18;    24.08
01/feb; 16-17;    24.05
01/feb; 15-16;    27.10
01/feb; 14-15;    27.37
01/feb; 13-14;    22.87
01/feb; 12-13;    28.46
01/feb; 11-12;    28.22
01/feb; 10-11;    29.01
01/feb;  9-10;    28.04
01/feb;  8- 9;    38.24
01/feb;  7- 8;    37.42
01/feb;  6- 7;    30.53
01/feb;  5- 6;    13.78
01/feb;  4- 5;    10.96
01/feb;  3- 4;     9.13
01/feb;  2- 3;     8.17
01/feb;  1- 2;     5.93
01/feb;  0- 1;     7.03
31/jan; 23-24;     9.04
31/jan; 22-23;     8.39
31/jan; 21-22;     8.48
31/jan; 20-21;     7.06
31/jan; 19-20;     6.96
31/jan; 18-19;     5.98
31/jan; 17-18;     9.80
31/jan; 16-17;    10.79
31/jan; 15-16;    10.52
31/jan; 14-15;    11.36
31/jan; 13-14;     9.48
31/jan; 12-13;    12.30
31/jan; 11-12;    13.14
31/jan; 10-11;    12.20
31/jan;  9-10;    18.13
31/jan;  8- 9;    20.06
31/jan;  7- 8;    17.47
31/jan;  6- 7;    11.11
31/jan;  5- 6;     5.87
31/jan;  4- 5;     4.11
31/jan;  3- 4;     4.26
31/jan;  2- 3;     5.82
31/jan;  1- 2;     7.60
31/jan;  0- 1;    13.74
30/jan; 23-24;     7.65
30/jan; 22-23;     8.42
30/jan; 21-22;    11.33
30/jan; 20-21;    12.99
30/jan; 19-20;    18.95
30/jan; 18-19;    28.57
30/jan; 17-18;    30.60
30/jan; 16-17;    52.36
30/jan; 15-16;    53.87
30/jan; 14-15;    42.86
30/jan; 13-14;    57.50
30/jan; 12-13;    69.38
30/jan; 11-12;    61.78
30/jan; 10-11;    80.62
30/jan;  9-10;   115.40
30/jan;  8- 9;   110.84
30/jan;  7- 8;    70.44
30/jan;  6- 7;    28.80
30/jan;  5- 6;    18.14
30/jan;  4- 5;    17.03
30/jan;  3- 4;     8.81
30/jan;  2- 3;    10.25
30/jan;  1- 2;    12.02
30/jan;  0- 1;    12.46
29/jan; 23-24;    15.59
29/jan; 22-23;    16.53
29/jan; 21-22;    19.46
29/jan; 20-21;    22.29
29/jan; 19-20;    21.79
29/jan; 18-19;    21.83
29/jan; 17-18;    22.73
29/jan; 16-17;    25.77
29/jan; 15-16;    27.70
29/jan; 14-15;    25.51
29/jan; 13-14;    34.94
29/jan; 12-13;    40.40
29/jan; 11-12;    40.04
29/jan; 10-11;    35.36
29/jan;  9-10;    31.87
29/jan;  8- 9;    29.41
29/jan;  7- 8;    23.28
29/jan;  6- 7;    22.99
29/jan;  5- 6;    17.03
29/jan;  4- 5;    21.07
29/jan;  3- 4;    21.62
29/jan;  2- 3;    26.39
29/jan;  1- 2;    25.81
29/jan;  0- 1;    24.31
28/jan; 23-24;    24.28
28/jan; 22-23;    22.65
28/jan; 21-22;    19.08
28/jan; 20-21;    18.70
28/jan; 19-20;    19.81
28/jan; 18-19;    24.77
28/jan; 17-18;    20.67
28/jan; 16-17;    22.61
28/jan; 15-16;    32.59
28/jan; 14-15;    36.84
28/jan; 13-14;    34.35
28/jan; 12-13;    28.75
28/jan; 11-12;    28.55
28/jan; 10-11;    33.96
28/jan;  9-10;    43.26
28/jan;  8- 9;    46.43
28/jan;  7- 8;    40.65
28/jan;  6- 7;    37.47
28/jan;  5- 6;    28.50
28/jan;  4- 5;    39.69
28/jan;  3- 4;    30.45
28/jan;  2- 3;    30.58
28/jan;  1- 2;    30.88
28/jan;  0- 1;    31.46
27/jan; 23-24;    33.55
27/jan; 22-23;    34.40
27/jan; 21-22;    29.08
27/jan; 20-21;    31.75
27/jan; 19-20;    36.66
27/jan; 18-19;    45.91
27/jan; 17-18;    39.95
27/jan; 16-17;    39.85
27/jan; 15-16;    33.29
27/jan; 14-15;    32.94
27/jan; 13-14;    38.17
27/jan; 12-13;    42.27
27/jan; 11-12;    45.99
27/jan; 10-11;    51.44
27/jan;  9-10;    63.90
27/jan;  8- 9;    71.12
27/jan;  7- 8;    67.47
27/jan;  6- 7;    34.21
27/jan;  5- 6;    24.28
27/jan;  4- 5;    22.54
27/jan;  3- 4;    20.45
27/jan;  2- 3;    19.34
27/jan;  1- 2;    16.57
27/jan;  0- 1;    12.72
26/jan; 23-24;    16.51
26/jan; 22-23;    19.41
26/jan; 21-22;    19.95
26/jan; 20-21;    16.39
26/jan; 19-20;    18.87
26/jan; 18-19;    25.62
26/jan; 17-18;    30.78
26/jan; 16-17;    42.33
26/jan; 15-16;    31.56
26/jan; 14-15;    37.01
26/jan; 13-14;    26.68
26/jan; 12-13;    50.97
26/jan; 11-12;    99.22
26/jan; 10-11;    81.70
26/jan;  9-10;    56.87
26/jan;  8- 9;    39.20
26/jan;  7- 8;    23.58
26/jan;  6- 7;    16.13
26/jan;  5- 6;     7.18
26/jan;  4- 5;     7.49
26/jan;  3- 4;     6.78
26/jan;  2- 3;     6.99
26/jan;  1- 2;     9.07
26/jan;  0- 1;     9.48
25/jan; 23-24;    13.19
25/jan; 22-23;    12.64
25/jan; 21-22;    13.29
25/jan; 20-21;    15.69
25/jan; 19-20;    15.54
25/jan; 18-19;    17.74
25/jan; 17-18;    18.30
25/jan; 16-17;    22.83
25/jan; 15-16;    28.01
25/jan; 14-15;    23.97
25/jan; 13-14;    19.59
25/jan; 12-13;    30.41
25/jan; 11-12;    28.03
25/jan; 10-11;    25.70
25/jan;  9-10;    24.49
25/jan;  8- 9;    28.71
25/jan;  7- 8;    27.15
25/jan;  6- 7;    18.14
25/jan;  5- 6;     8.55
25/jan;  4- 5;     6.22
25/jan;  3- 4;     8.23
25/jan;  2- 3;    11.24
25/jan;  1- 2;    13.71
25/jan;  0- 1;    14.89
24/jan; 23-24;    16.74
24/jan; 22-23;    19.90
24/jan; 21-22;    23.11
24/jan; 20-21;    26.82
24/jan; 19-20;    28.36
24/jan; 18-19;    36.62
24/jan; 17-18;    33.86
24/jan; 16-17;    30.38
24/jan; 15-16;    25.58
24/jan; 14-15;    20.93
24/jan; 13-14;    21.56
24/jan; 12-13;    21.79
24/jan; 11-12;    22.04
24/jan; 10-11;    26.99
24/jan;  9-10;    57.38
24/jan;  8- 9;    56.76
24/jan;  7- 8;    45.70
24/jan;  6- 7;    19.81
24/jan;  5- 6;     8.32
24/jan;  4- 5;     5.98
24/jan;  3- 4;     7.86
24/jan;  2- 3;     8.48
24/jan;  1- 2;    11.19
24/jan;  0- 1;    14.42
23/jan; 23-24;    23.19
23/jan; 22-23;    24.52
23/jan; 21-22;    27.22
23/jan; 20-21;    48.02
23/jan; 19-20;    54.24
23/jan; 18-19;    58.58
23/jan; 17-18;    70.97
23/jan; 16-17;    50.41
23/jan; 15-16;    34.39
23/jan; 14-15;    25.58
23/jan; 13-14;    20.86
23/jan; 12-13;    34.37
23/jan; 11-12;    35.33
23/jan; 10-11;    35.71
23/jan;  9-10;    20.24
23/jan;  8- 9;    30.37
23/jan;  7- 8;    33.23
23/jan;  6- 7;    11.39
23/jan;  5- 6;     5.11
23/jan;  4- 5;     5.07
23/jan;  3- 4;     4.50
23/jan;  2- 3;     4.34
23/jan;  1- 2;     4.22
23/jan;  0- 1;     6.56
22/jan; 23-24;     5.76
22/jan; 22-23;    12.11
22/jan; 21-22;    22.15
22/jan; 20-21;    23.27
22/jan; 19-20;    26.07
22/jan; 18-19;    25.62
22/jan; 17-18;    24.27
22/jan; 16-17;    28.10
22/jan; 15-16;    26.83
22/jan; 14-15;    18.13
22/jan; 13-14;    12.70
22/jan; 12-13;     9.79
22/jan; 11-12;    12.36
22/jan; 10-11;    12.37
22/jan;  9-10;    12.90
22/jan;  8- 9;     9.74
22/jan;  7- 8;     9.71
22/jan;  6- 7;     7.70
22/jan;  5- 6;    12.60
22/jan;  4- 5;    10.55
22/jan;  3- 4;    15.19
22/jan;  2- 3;     9.26
22/jan;  1- 2;    11.88
22/jan;  0- 1;     9.90
21/jan; 23-24;     8.37
21/jan; 22-23;    15.60
21/jan; 21-22;    22.53
21/jan; 20-21;    29.65
21/jan; 19-20;    43.00
21/jan; 18-19;    29.86
21/jan; 17-18;    22.46
21/jan; 16-17;    22.37
21/jan; 15-16;    15.76
21/jan; 14-15;    16.82
21/jan; 13-14;    18.15
21/jan; 12-13;    13.54
21/jan; 11-12;    13.30
21/jan; 10-11;    11.80
21/jan;  9-10;     9.85
21/jan;  8- 9;     8.92
21/jan;  7- 8;     7.24
21/jan;  6- 7;     6.67
21/jan;  5- 6;     5.63
21/jan;  4- 5;     7.80
21/jan;  3- 4;     8.39
21/jan;  2- 3;     8.86
21/jan;  1- 2;    10.33
21/jan;  0- 1;    11.64
20/jan; 23-24;    12.47
20/jan; 22-23;    12.32
20/jan; 21-22;    14.49
20/jan; 20-21;    13.47
20/jan; 19-20;    14.32
20/jan; 18-19;    15.15
20/jan; 17-18;    17.43
20/jan; 16-17;    16.76
20/jan; 15-16;    13.73
20/jan; 14-15;    17.21
20/jan; 13-14;    15.24
20/jan; 12-13;    17.86
20/jan; 11-12;    17.47
20/jan; 10-11;    17.71
20/jan;  9-10;    25.71
20/jan;  8- 9;    33.49
20/jan;  7- 8;    20.10
20/jan;  6- 7;     9.85
20/jan;  5- 6;     5.09
20/jan;  4- 5;     2.74
20/jan;  3- 4;     2.17
20/jan;  2- 3;     3.37
20/jan;  1- 2;     2.06
20/jan;  0- 1;     3.98
19/jan; 23-24;     5.65
19/jan; 22-23;     7.99
19/jan; 21-22;    11.36
19/jan; 20-21;    14.25
19/jan; 19-20;    17.54
19/jan; 18-19;    23.00
19/jan; 17-18;    25.61
19/jan; 16-17;    27.37
19/jan; 15-16;    24.89
19/jan; 14-15;    28.06
19/jan; 13-14;    23.64
19/jan; 12-13;    27.49
19/jan; 11-12;    29.96
19/jan; 10-11;    37.10
19/jan;  9-10;    40.03
19/jan;  8- 9;    39.09
19/jan;  7- 8;    42.06
19/jan;  6- 7;    26.42
19/jan;  5- 6;    16.41
19/jan;  4- 5;    14.19
19/jan;  3- 4;    15.15
19/jan;  2- 3;    14.08
19/jan;  1- 2;    15.33
19/jan;  0- 1;    17.79
18/jan; 23-24;    18.46
18/jan; 22-23;    21.57
18/jan; 21-22;    21.99
18/jan; 20-21;    24.65
18/jan; 19-20;    27.86
18/jan; 18-19;    28.07
18/jan; 17-18;    32.18
18/jan; 16-17;    35.68
18/jan; 15-16;    32.49
18/jan; 14-15;    32.51
18/jan; 13-14;    34.46
18/jan; 12-13;    35.09
18/jan; 11-12;    37.44
18/jan; 10-11;    36.78
18/jan;  9-10;    38.73
18/jan;  8- 9;    39.43
18/jan;  7- 8;    35.59
18/jan;  6- 7;    25.46
18/jan;  5- 6;    12.99
18/jan;  4- 5;    11.31
18/jan;  3- 4;    10.31
18/jan;  2- 3;    10.83
18/jan;  1- 2;    12.08
18/jan;  0- 1;    14.49
17/jan; 23-24;    17.99
17/jan; 22-23;    22.01
17/jan; 21-22;    24.69
17/jan; 20-21;    24.89
17/jan; 19-20;    27.15
17/jan; 18-19;    33.50
17/jan; 17-18;    37.47
17/jan; 16-17;    40.78
17/jan; 15-16;    36.87
17/jan; 14-15;    32.51
17/jan; 13-14;    31.53
17/jan; 12-13;    37.16
17/jan; 11-12;    35.64
17/jan; 10-11;    41.01
17/jan;  9-10;    34.57
17/jan;  8- 9;    24.32
17/jan;  7- 8;    13.54
17/jan;  6- 7;     8.70
17/jan;  5- 6;     6.45
17/jan;  4- 5;     4.37
17/jan;  3- 4;     4.33
17/jan;  2- 3;     5.40
17/jan;  1- 2;     5.44
17/jan;  0- 1;     5.44
16/jan; 23-24;     5.82
16/jan; 22-23;     7.46
16/jan; 21-22;     9.66
16/jan; 20-21;    26.30
16/jan; 19-20;    31.15
16/jan; 18-19;    33.76
16/jan; 17-18;    32.55
16/jan; 16-17;    24.69
16/jan; 15-16;    20.23
16/jan; 14-15;    18.57
16/jan; 13-14;    14.75
16/jan; 12-13;    19.19
16/jan; 11-12;    33.35
16/jan; 10-11;    53.87
16/jan;  9-10;    88.73
16/jan;  8- 9;    76.90
16/jan;  7- 8;    36.72
16/jan;  6- 7;    23.04
16/jan;  5- 6;    13.29
16/jan;  4- 5;    11.66
16/jan;  3- 4;     8.88
16/jan;  2- 3;     6.81
16/jan;  1- 2;     9.22
16/jan;  0- 1;    10.42
15/jan; 23-24;    18.90
15/jan; 22-23;    19.34
15/jan; 21-22;    21.26
15/jan; 20-21;    25.67
15/jan; 19-20;    24.42
15/jan; 18-19;    27.16
15/jan; 17-18;    54.91
15/jan; 16-17;    40.61
15/jan; 15-16;    10.72
15/jan; 14-15;     9.41
15/jan; 13-14;     8.57
15/jan; 12-13;    12.93
15/jan; 11-12;    13.75
15/jan; 10-11;    13.04
15/jan;  9-10;    10.33
15/jan;  8- 9;     5.36
15/jan;  7- 8;     3.27
15/jan;  6- 7;     4.31
15/jan;  5- 6;     4.22
15/jan;  4- 5;     4.71
15/jan;  3- 4;     9.81
15/jan;  2- 3;    14.10
15/jan;  1- 2;    16.85
15/jan;  0- 1;    24.67
14/jan; 23-24;    22.03
14/jan; 22-23;    18.77
14/jan; 21-22;    21.38
14/jan; 20-21;    20.45
14/jan; 19-20;    22.15
14/jan; 18-19;    29.52
14/jan; 17-18;    21.80
14/jan; 16-17;    21.51
14/jan; 15-16;    15.73
14/jan; 14-15;    13.71
14/jan; 13-14;    15.35
14/jan; 12-13;    22.72
14/jan; 11-12;    22.77
14/jan; 10-11;    20.24
14/jan;  9-10;    18.27
14/jan;  8- 9;    19.09
14/jan;  7- 8;    18.73
14/jan;  6- 7;    19.81
14/jan;  5- 6;    20.98
14/jan;  4- 5;    24.40
14/jan;  3- 4;    29.69
14/jan;  2- 3;    26.25
14/jan;  1- 2;    28.58
14/jan;  0- 1;    32.80
13/jan; 23-24;    43.22
13/jan; 22-23;    41.75
13/jan; 21-22;    41.47
13/jan; 20-21;    36.13
13/jan; 19-20;    25.30
13/jan; 18-19;    26.79
13/jan; 17-18;    34.29
13/jan; 16-17;    25.74
13/jan; 15-16;    27.72
13/jan; 14-15;    33.90
13/jan; 13-14;    30.88
13/jan; 12-13;    33.96
13/jan; 11-12;    44.19
13/jan; 10-11;    65.81
13/jan;  9-10;    78.15
13/jan;  8- 9;    62.15
13/jan;  7- 8;    44.42
13/jan;  6- 7;    40.08
13/jan;  5- 6;    13.27
13/jan;  4- 5;     8.97
13/jan;  3- 4;     6.72
13/jan;  2- 3;     6.38
13/jan;  1- 2;     8.30
13/jan;  0- 1;     7.15
12/jan; 23-24;     8.85
12/jan; 22-23;     9.56
12/jan; 21-22;    11.64
12/jan; 20-21;    10.62
12/jan; 19-20;    11.81
12/jan; 18-19;    12.86
12/jan; 17-18;    16.28
12/jan; 16-17;    18.88
12/jan; 15-16;    17.86
12/jan; 14-15;    15.32
12/jan; 13-14;    13.14
12/jan; 12-13;    14.63
12/jan; 11-12;    14.26
12/jan; 10-11;    19.19
12/jan;  9-10;    19.48
12/jan;  8- 9;    19.65
12/jan;  7- 8;    18.73
12/jan;  6- 7;    13.65
12/jan;  5- 6;     6.33
12/jan;  4- 5;     3.64
12/jan;  3- 4;     3.17
12/jan;  2- 3;     3.98
12/jan;  1- 2;     2.54
12/jan;  0- 1;     3.63
11/jan; 23-24;     4.66
11/jan; 22-23;     6.41
11/jan; 21-22;     9.01
11/jan; 20-21;     9.71
11/jan; 19-20;    10.82
11/jan; 18-19;    14.85
11/jan; 17-18;    24.97
11/jan; 16-17;    27.06
11/jan; 15-16;    26.80
11/jan; 14-15;    23.69
11/jan; 13-14;    20.24
11/jan; 12-13;    21.81
11/jan; 11-12;    25.07
11/jan; 10-11;    22.86
11/jan;  9-10;    29.44
11/jan;  8- 9;    36.98
11/jan;  7- 8;    25.94
11/jan;  6- 7;    24.81
11/jan;  5- 6;    15.00
11/jan;  4- 5;    14.00
11/jan;  3- 4;    13.44
11/jan;  2- 3;    13.39
11/jan;  1- 2;    12.35
11/jan;  0- 1;    14.30
10/jan; 23-24;    15.90
10/jan; 22-23;    18.34
10/jan; 21-22;    17.22
10/jan; 20-21;    16.41
10/jan; 19-20;    24.82
10/jan; 18-19;    27.36
10/jan; 17-18;    29.22
10/jan; 16-17;    36.30
10/jan; 15-16;    32.04
10/jan; 14-15;    32.27
10/jan; 13-14;    32.25
10/jan; 12-13;    32.62
10/jan; 11-12;    28.28
10/jan; 10-11;    32.32
10/jan;  9-10;    34.06
10/jan;  8- 9;    34.30
10/jan;  7- 8;    36.17
10/jan;  6- 7;    27.67
10/jan;  5- 6;    18.34
10/jan;  4- 5;    11.13
10/jan;  3- 4;    11.91
10/jan;  2- 3;     8.74
10/jan;  1- 2;    11.68
10/jan;  0- 1;    13.69
09/jan; 23-24;    11.36
09/jan; 22-23;     8.98
09/jan; 21-22;    21.60
09/jan; 20-21;     9.73
09/jan; 19-20;    14.02
09/jan; 18-19;    20.74
09/jan; 17-18;    20.85
09/jan; 16-17;    26.44
09/jan; 15-16;    29.54
09/jan; 14-15;    31.95
09/jan; 13-14;    34.03
09/jan; 12-13;    40.99
09/jan; 11-12;    42.67
09/jan; 10-11;    43.31
09/jan;  9-10;    43.57
09/jan;  8- 9;    47.31
09/jan;  7- 8;    34.59
09/jan;  6- 7;    19.19
09/jan;  5- 6;     8.86
09/jan;  4- 5;     7.57
09/jan;  3- 4;     6.88
09/jan;  2- 3;     7.58
09/jan;  1- 2;     7.47
09/jan;  0- 1;     8.97
08/jan; 23-24;    13.31
08/jan; 22-23;    16.14
08/jan; 21-22;    24.12
08/jan; 20-21;    28.93
08/jan; 19-20;    31.35
08/jan; 18-19;    30.21
08/jan; 17-18;    23.08
08/jan; 16-17;    23.10
08/jan; 15-16;    25.10
08/jan; 14-15;    22.59
08/jan; 13-14;    25.30
08/jan; 12-13;    22.61
08/jan; 11-12;    19.98
08/jan; 10-11;    12.89
08/jan;  9-10;    12.21
08/jan;  8- 9;     8.21
08/jan;  7- 8;     6.66
08/jan;  6- 7;     7.52
08/jan;  5- 6;     7.33
08/jan;  4- 5;     7.18
08/jan;  3- 4;    10.84
08/jan;  2- 3;     9.94
08/jan;  1- 2;    13.35
08/jan;  0- 1;    15.86
07/jan; 23-24;    18.96
07/jan; 22-23;    17.70
07/jan; 21-22;    26.79
07/jan; 20-21;    36.74
07/jan; 19-20;    40.69
07/jan; 18-19;    53.81
07/jan; 17-18;    56.16
07/jan; 16-17;    53.66
07/jan; 15-16;    44.01
07/jan; 14-15;    39.09
07/jan; 13-14;    37.66
07/jan; 12-13;    34.38
07/jan; 11-12;    33.62
07/jan; 10-11;    29.06
07/jan;  9-10;    23.32
07/jan;  8- 9;    20.08
07/jan;  7- 8;    19.30
07/jan;  6- 7;    16.41
07/jan;  5- 6;     9.87
07/jan;  4- 5;     7.71
07/jan;  3- 4;     8.13
07/jan;  2- 3;     9.09
07/jan;  1- 2;    12.77
07/jan;  0- 1;    18.32
;;
;;
;;
;;